PROD001;Mochila Premium QMAX;733,39
PROD002;Zapatos Inteligente MAGNUX;251,84
PROD003;Mochila Económico QMAX;499,25
PROD004;Libro Inteligente SKY;797,83
PROD005;Libro Profesional SFORZO;968,24
PROD006;Laptop Profesional SEVEN;268,48
PROD007;Teléfono Clásico SFORZO;875,90
PROD008;Mochila Clásico SEVEN;827,87
PROD009;Mochila Económico QMAX;406,91
PROD010;Laptop Económico Adidas;225,67
PROD011;Laptop Económico Nike;803,07
PROD012;Libro Clásico QMAX;111,29
PROD013;Zapatos Premium Wilson;319,56
PROD014;Camiseta Premium Nike;811,90
PROD015;Mochila Inteligente Wilson;393,95
